Ejemplar;Objetivo;Resultado;Margen Mejora (%);Tiempo ejecución; Método Ordenación;    Método Colocación; Optimización Local; Número Mejoras; Timeout
ejemplar_calibrado_86.txt;1242736,1511999944;105827,14990000134;91,48434285123082;258,00870275497437;RANDOM;SPOT_INV;False;9;True;
ejemplar_calibrado_87.txt;399972,44769999944;47142,74399999997;88,21350213718733;258,01701259613037;RANDOM;SPOT_INV;False;12;True;
ejemplar_calibrado_88.txt;785345,4278000004;94240,89290000004;88,00007110705432;258,03677439689636;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_89.txt;555008,5341999996;55453,313400000035;90,00856563765609;258,0119581222534;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_90.txt;516886,9258000006;60833,69130000006;88,23075449125628;258,02932143211365;RANDOM;SPOT_INV;False;14;True;
ejemplar_calibrado_91.txt;1070304,8058000004;103081,30929999992;90,36897631951192;258,0382926464081;RANDOM;SPOT_INV;False;9;True;
ejemplar_calibrado_92.txt;361638,6729000002;57054,80070000002;84,22325791584333;258,01636123657227;RANDOM;SPOT_INV;False;9;True;
ejemplar_calibrado_93.txt;1393647,100400001;118665,11679999987;91,48528226651202;258,0379798412323;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_94.txt;1234482,5337999982;99734,9313000001;91,92091191497097;258,0273494720459;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_95.txt;544726,5134999998;73252,25939999997;86,55247035262953;258,0112578868866;RANDOM;SPOT_INV;False;11;True;
ejemplar_calibrado_96.txt;512795,69239999994;63439,979800000125;87,62860516571685;258,00623631477356;RANDOM;SPOT_INV;False;7;True;
ejemplar_calibrado_97.txt;683834,0135999996;82977,54560000007;87,8658352831603;258,0095510482788;RANDOM;SPOT_INV;False;10;True;
ejemplar_calibrado_98.txt;1184346,1499;92468,82700000003;92,1924154515293;258,0269145965576;RANDOM;SPOT_INV;False;13;True;
ejemplar_calibrado_99.txt;383061,71629999985;58020,74320000001;84,85342159471757;258,0135066509247;RANDOM;SPOT_INV;False;7;True;
ejemplar_calibrado_100.txt;364195,2275;56641,50679999998;84,44748790674365;258,01364254951477;RANDOM;SPOT_INV;False;13;True;
